sat_id,x0_m,y0_m,vx0_ms,vy0_ms,euler_class,euler_energy,euler_final_x_m,euler_final_y_m,rk4_class,rk4_energy,rk4_final_x_m,rk4_final_y_m
162,6711259.740,0.000,0.000,5181.818,3,-4.597450e+07,6273283.899,1586062.185,3,-4.596717e+07,6271916.127,1590904.336
163,6734636.364,0.000,0.000,5181.818,3,-4.576867e+07,6250932.513,1668319.086,3,-4.576101e+07,6249503.368,1673127.011
164,6758012.987,0.000,0.000,5181.818,3,-4.556424e+07,6229688.691,1745246.964,3,-4.555628e+07,6228203.603,1750021.750
165,6781389.610,0.000,0.000,5181.818,3,-4.536119e+07,6209961.444,1816935.736,3,-4.535296e+07,6208425.683,1821678.778
166,6804766.234,0.000,0.000,5181.818,3,-4.515954e+07,6188825.155,1888166.983,3,-4.515103e+07,6187239.831,1892877.415
167,6828142.857,0.000,0.000,5181.818,3,-4.495926e+07,6166308.058,1958928.339,3,-4.495049e+07,6164674.283,1963605.330
168,6851519.481,0.000,0.000,5181.818,3,-4.476032e+07,6145959.438,2024591.150,3,-4.475132e+07,6144282.211,2029236.585
169,6874896.104,0.000,0.000,5181.818,3,-4.456276e+07,6120873.270,2094416.020,3,-4.455350e+07,6119149.755,2099026.517
170,6898272.727,0.000,0.000,5181.818,3,-4.436651e+07,6098217.664,2159196.345,3,-4.435702e+07,6096452.749,2163773.989
171,6921649.351,0.000,0.000,5181.818,3,-4.417155e+07,6078313.901,2219034.524,3,-4.416187e+07,6076512.307,2223581.627
172,6945025.974,0.000,0.000,5181.818,3,-4.397794e+07,6053642.135,2282973.950,3,-4.396804e+07,6051801.074,2287487.140
173,6968402.597,0.000,0.000,5181.818,3,-4.378559e+07,6031950.254,2342031.554,3,-4.377550e+07,6030074.334,2346513.308
174,6991779.221,0.000,0.000,5181.818,3,-4.359456e+07,6005347.182,2405103.686,3,-4.358425e+07,6003433.715,2409550.556
175,7015155.844,0.000,0.000,5181.818,3,-4.340476e+07,5981946.462,2463358.417,3,-4.339428e+07,5979999.941,2467773.043
176,7038532.468,0.000,0.000,5181.818,3,-4.321623e+07,5957762.331,2521222.973,3,-4.320557e+07,5955783.626,2525605.009
