step,sat_id,class,x_m,y_m,r_km
157,2,3,6505340.825,780532.348,6551.999
158,2,3,6503901.141,785446.009,6551.157
159,2,3,6502452.237,790358.556,6550.309
160,2,3,6500994.110,795269.983,6549.456
161,2,3,6499526.760,800180.281,6548.598
162,2,3,6498050.185,805089.443,6547.734
163,2,3,6496564.383,809997.462,6546.865
164,2,3,6495069.353,814904.331,6545.991
165,2,3,6493565.093,819810.041,6545.111
166,2,3,6492051.601,824714.586,6544.226
167,2,3,6490528.876,829617.959,6543.335
168,2,3,6488996.917,834520.150,6542.439
169,2,3,6487455.722,839421.154,6541.537
170,2,3,6485905.288,844320.963,6540.630
171,2,3,6484345.615,849219.569,6539.718
172,2,3,6482776.701,854116.965,6538.800
173,2,3,6481198.544,859013.142,6537.877
174,2,3,6479611.143,863908.095,6536.949
175,2,3,6478014.495,868801.815,6536.015
176,2,3,6476408.600,873694.294,6535.075
177,2,3,6474793.455,878585.526,6534.131
178,2,3,6473169.059,883475.503,6533.180
179,2,3,6471535.409,888364.216,6532.225
180,2,3,6469892.506,893251.659,6531.264
181,2,3,6468240.345,898137.824,6530.297
182,2,3,6466578.927,903022.704,6529.326
183,2,3,6464908.248,907906.291,6528.348
184,2,3,6463228.308,912788.577,6527.366
185,2,3,6461539.105,917669.554,6526.378
186,2,3,6459840.636,922549.216,6525.384
187,2,3,6458132.900,927427.554,6524.385
188,2,3,6456415.895,932304.561,6523.381
189,2,3,6454689.620,937180.230,6522.371
190,2,3,6452954.072,942054.552,6521.356
191,2,3,6451209.250,946927.521,6520.335
192,2,3,6449455.152,951799.127,6519.309
193,2,3,6447691.775,956669.365,6518.278
194,2,3,6445919.119,961538.225,6517.241
195,2,3,6444137.181,966405.701,6516.199
196,2,3,6442345.959,971271.785,6515.151
197,2,3,6440545.452,976136.469,6514.098
198,2,3,6438735.657,980999.745,6513.039
199,2,3,6436916.573,985861.606,6511.975
200,2,3,6435088.197,990722.044,6510.905
201,2,3,6433250.528,995581.051,6509.831
202,2,3,6431403.564,1000438.620,6508.750
203,2,3,6429547.303,1005294.742,6507.664
204,2,3,6427681.743,1010149.410,6506.573
205,2,3,6425806.882,1015002.617,6505.476
206,2,3,6423922.717,1019854.354,6504.374
207,2,3,6422029.247,1024704.614,6503.267
208,2,3,6420126.471,1029553.389,6502.154
209,2,3,6418214.385,1034400.671,6501.035
210,2,3,6416292.988,1039246.453,6499.911
211,2,3,6414362.277,1044090.726,6498.782
212,2,3,6412422.252,1048933.482,6497.647
213,2,3,6410472.909,1053774.715,6496.507
214,2,3,6408514.247,1058614.415,6495.361
215,2,3,6406546.263,1063452.576,6494.210
216,2,3,6404568.955,1068289.189,6493.054
217,2,3,6402582.322,1073124.247,6491.892
218,2,3,6400586.361,1077957.741,6490.724
219,2,3,6398581.071,1082789.664,6489.551
220,2,3,6396566.448,1087620.007,6488.373
221,2,3,6394542.491,1092448.764,6487.189
222,2,3,6392509.197,1097275.925,6485.999
223,2,3,6390466.565,1102101.484,6484.805
